URN,P8MEA,P8MEA_FSM6CLA1A
131880,0.2,0.19
139095,0.19,0.19
102776,0.18,0.19
102851,0.5,0.18
136590,0.43,0.18
103499,0.42,0.18
137092,0.37,0.18
100977,0.28,0.18
101821,0.28,0.18
136414,0.27,0.18
137453,0.25,0.18
131752,0.23,0.18
100459,0.21,0.18
138593,0.17,0.18
121717,0.1,0.18
136916,0.48,0.17
138924,0.47,0.17
136922,0.46,0.17
138767,0.45,0.17
101241,0.4,0.17
136137,0.39,0.17
137024,0.39,0.17
137221,0.33,0.17
140149,0.32,0.17
118919,0.24,0.17
102043,0.23,0.17
135264,0.21,0.17
135174,0.17,0.17
135674,0.15,0.17
136629,0.13,0.17
136636,0.6,0.16
137284,0.58,0.16
100752,0.4,0.16
104386,0.39,0.16
136386,0.37,0.16
100277,0.33,0.16
135262,0.3,0.16
139948,0.3,0.16
139258,0.29,0.16
114606,0.28,0.16
134226,0.26,0.16
137442,0.25,0.16
100859,0.21,0.16
137727,0.2,0.16
137770,0.07,0.16
108628,0.03,0.16
137152,0.4,0.15
137921,0.4,0.15
137388,0.38,0.15
102679,0.37,0.15
141639,0.36,0.15
136640,0.34,0.15
101939,0.33,0.15
105564,0.3,0.15
108860,0.28,0.15
142314,0.26,0.15
139888,0.15,0.15
103493,0.14,0.15
138665,0.01,0.15
136304,0.44,0.14
136846,0.42,0.14
110087,0.39,0.14
138228,0.32,0.14
105556,0.31,0.14
135170,0.3,0.14
135843,0.25,0.14
142310,0.24,0.14
114594,0.23,0.14
141466,0.2,0.14
135677,0.17,0.14
136978,0.17,0.14
137547,0.16,0.14
136174,0.14,0.14
111396,0.13,0.14
136874,0.43,0.13
100059,0.41,0.13
111424,0.36,0.13
135973,0.31,0.13
102860,0.27,0.13
136913,0.26,0.13
107413,0.24,0.13
131609,0.24,0.13
139819,0.2,0.13
117537,0.18,0.13
102786,0.17,0.13
103097,0.14,0.13
136592,0.54,0.12
139167,0.48,0.12
137241,0.45,0.12
136555,0.43,0.12
102673,0.39,0.12
136490,0.39,0.12
102055,0.37,0.12
136491,0.36,0.12
136613,0.36,0.12
126087,0.33,0.12
137237,0.32,0.12
120286,0.29,0.12
137077,0.27,0.12
141399,0.26,0.12
137269,0.18,0.12
105982,0.14,0.12
133697,0.14,0.12
137315,0.09,0.12
136788,-0.04,0.12
125302,0.69,0.11
136367,0.59,0.11
136400,0.47,0.11
137090,0.47,0.11
118109,0.39,0.11
136321,0.33,0.11
134989,0.32,0.11
102154,0.25,0.11
137753,0.25,0.11
137349,0.24,0.11
137704,0.22,0.11
138246,0.18,0.11
137988,0.11,0.11
138137,0.1,0.11
137527,0.44,0.1
137233,0.43,0.1
135311,0.42,0.1
125259,0.36,0.1
137051,0.32,0.1
137379,0.3,0.1
136502,0.27,0.1
136624,0.27,0.1
137039,0.27,0.1
137343,0.27,0.1
124430,0.26,0.1
137729,0.23,0.1
110107,0.2,0.1
106537,0.19,0.1
123577,0.15,0.1
100967,0.14,0.1
137228,0.14,0.1
100502,0.11,0.1
136310,0.58,0.09
138459,0.55,0.09
136481,0.53,0.09
118883,0.43,0.09
136352,0.41,0.09
139193,0.4,0.09
137899,0.36,0.09
107562,0.35,0.09
114299,0.34,0.09
137260,0.34,0.09
136369,0.29,0.09
140874,0.27,0.09
113507,0.26,0.09
138932,0.26,0.09
121679,0.25,0.09
137927,0.25,0.09
131757,0.23,0.09
136851,0.2,0.09
100969,0.19,0.09
141165,0.18,0.09
136573,0.17,0.09
105358,0.14,0.09
125315,0.63,0.08
135888,0.35,0.08
137768,0.34,0.08
137230,0.29,0.08
105842,0.27,0.08
130585,0.24,0.08
142067,0.24,0.08
132727,0.21,0.08
137692,0.18,0.08
136529,0.17,0.08
138682,0.17,0.08
142153,0.17,0.08
106540,0.15,0.08
107756,0.15,0.08
136203,0.15,0.08
138019,0.15,0.08
139189,0.12,0.08
103519,0.09,0.08
136337,0.02,0.08
